City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
ponta do sol,20,1615065684,63,32.6667,-17.1,60.8,17.27
busselton,31,1615065685,93,-33.65,115.3333,64.0,10.13
saint george,1,1615065685,10,37.1041,-113.5841,75.2,19.57
bang saphan,4,1615065685,88,11.2126,99.5117,73.42,3.53
bredasdorp,0,1615065685,82,-34.5322,20.0403,62.6,5.75
arica,0,1615065686,73,-18.475,-70.3042,73.4,12.66
victoria,65,1615065669,91,22.2855,114.1577,69.01,1.01
carnarvon,0,1615065686,100,-24.8667,113.6333,75.2,11.5
alice springs,91,1615065605,23,-23.7,133.8833,75.2,2.3
flin flon,40,1615065686,65,54.7682,-101.865,42.8,11.5
pucallpa,63,1615065686,64,-8.3791,-74.5539,87.87,1.43
saint-philippe,75,1615065686,94,-21.3585,55.7679,75.2,5.75
vaini,75,1615065687,79,-21.2,-175.2,86.0,14.97
saskylakh,94,1615065687,85,71.9167,114.0833,-23.82,7.38
rikitea,3,1615065687,81,-23.1203,-134.9692,79.95,13.13
tiksi,100,1615065687,87,71.6872,128.8694,-20.7,5.73
faanui,100,1615065687,71,-16.4833,-151.75,82.94,11.14
atuona,5,1615065688,74,-9.8,-139.0333,80.04,14.9
kapaa,90,1615065688,73,22.0752,-159.319,73.4,18.41
tammisaari,69,1615065688,80,59.9736,23.4339,33.01,14
cockburn town,40,1615065688,73,21.4612,-71.1419,78.8,6.91
lompoc,20,1615065688,63,34.6391,-120.4579,61.0,19.57
buluang,91,1615065689,90,13.3068,123.3425,71.85,4.27
hilo,90,1615065689,78,19.7297,-155.09,72.0,10.36
ribeira grande,75,1615065689,94,38.5167,-28.7,62.6,11.5
turukhansk,100,1615065689,94,65.8167,87.9833,11.16,7.78
majene,59,1615065689,84,-3.5403,118.9707,77.11,4.5
weligama,35,1615065689,81,5.9667,80.4167,75.22,2.37
albany,100,1615065689,45,42.6001,-73.9662,27.0,1.99
hermanus,0,1615065689,81,-34.4187,19.2345,66.09,9.57
ushuaia,75,1615065581,58,-54.8,-68.3,51.8,18.41
butaritari,59,1615065690,81,3.0707,172.7902,80.04,14.29
nalut,0,1615065690,30,30.3333,10.85,61.38,12.39
chokurdakh,100,1615065690,89,70.6333,147.9167,-11.52,15.68
palana,48,1615065690,90,59.1167,159.9667,-27.15,1.86
zvolen,0,1615065691,20,48.5744,19.1532,21.99,2.26
kavaratti,76,1615065691,68,10.5669,72.642,81.82,9.62
bethel,98,1615065691,50,41.3712,-73.414,28.99,3
yar-sale,98,1615065692,92,66.8333,70.8333,-5.84,8.55
avarua,75,1615065692,89,-21.2078,-159.775,80.6,3.44
madimba,40,1615065692,89,-10.4,40.3333,78.8,17.27
santeramo in colle,40,1615065692,81,40.793,16.7553,46.4,9.22
port alfred,0,1615065692,90,-33.5906,26.891,69.01,8.99
nouadhibou,0,1615065693,52,20.931,-17.0347,68.0,24.16
berlevag,100,1615065693,95,70.8578,29.0864,27.1,29.77
uglekamensk,0,1615065693,86,43.2172,133.2303,6.08,2.3
wakkanai,100,1615065693,88,45.4094,141.6739,19.89,18.03
vao,0,1615065693,72,-22.6667,167.4833,75.63,17.92
asmara,5,1615065694,85,15.3333,38.9333,55.51,5.59
petropavlovsk-kamchatskiy,0,1615065489,66,53.0452,158.6483,5.0,4.47
hede,100,1615065754,78,33.7681,120.2517,37.72,10.4
vila franca do campo,75,1615065754,100,37.7167,-25.4333,59.0,10.36
sitka,90,1615065754,65,57.0531,-135.33,41.0,8.05
yellowknife,90,1615065755,93,62.456,-114.3525,17.6,10.36
vila velha,40,1615065755,74,-20.3297,-40.2925,88.0,6.91
pevek,100,1615065755,89,69.7008,170.3133,-15.34,10.92
broken hill,83,1615065755,22,-31.95,141.4333,66.2,5.75
urumqi,90,1615065755,93,43.801,87.6005,26.6,2.84
severo-kurilsk,95,1615065756,90,50.6789,156.125,14.25,30.56
nuuk,75,1615065649,80,64.1835,-51.7216,33.01,16.11
redwater,1,1615065756,31,33.3582,-94.2544,61.0,12.66
constitucion,16,1615065756,72,-35.3333,-72.4167,65.35,6.85
khatanga,80,1615065756,87,71.9667,102.5,-19.28,11.54
mount gambier,100,1615065756,93,-37.8333,140.7667,50.0,3.83
bluff,73,1615065757,95,-46.6,168.3333,52.0,8.99
cape town,0,1615065643,72,-33.9258,18.4232,70.0,2.3
sisimiut,99,1615065757,94,66.9395,-53.6735,16.07,11.61
panubigan,0,1615065757,82,7.4281,123.3466,77.13,11.59
suhbaatar,87,1615065757,90,50.2314,106.2078,8.83,2.19
zurrieq,40,1615065758,94,35.8311,14.4742,57.99,9.22
poya,70,1615065758,69,-21.35,165.15,75.7,6.35
yebaishou,0,1615065758,60,41.3975,119.6408,16.47,2.39
ures,8,1615065759,12,29.4333,-110.4,87.01,1.99
dharchula,0,1615065759,35,29.85,80.5333,54.63,6.93
chuy,8,1615065759,67,-33.6971,-53.4616,71.69,7.07
jiehu,100,1615065759,84,35.5428,118.455,31.06,6.04
tres arroyos,28,1615065760,15,-38.3739,-60.2798,88.02,5.59
namatanai,100,1615065760,79,-3.6667,152.4333,80.01,3.24
thompson,75,1615065706,45,55.7435,-97.8558,41.0,10.36
shingu,70,1615065760,59,33.7333,135.9833,45.66,4.97
touho,30,1615065760,67,-20.7833,165.2333,75.34,5.95
lebu,20,1615065760,78,-37.6167,-73.65,63.7,8.1
pak phanang,36,1615065761,79,8.3511,100.202,77.49,3.04
galle,46,1615065761,73,6.0367,80.217,76.48,1.9
dikson,100,1615065761,88,73.5069,80.5464,-21.3,13.67
leh,83,1615065761,80,34.1667,77.5833,14.49,1.61
alofi,100,1615065762,79,-19.0595,-169.9187,84.2,8.05
dingle,100,1615065762,84,10.9995,122.6711,73.04,6.78
port blair,0,1615065762,74,11.6667,92.75,78.3,2.28
the valley,20,1615065762,69,18.217,-63.0578,80.6,12.66
sinnamary,100,1615065762,87,5.3833,-52.95,78.76,13.76
hovd,1,1615065762,57,48.0056,91.6419,18.97,4.76
barrow,1,1615065732,71,71.2906,-156.7887,-7.6,10.36
sangar,39,1615065763,82,63.9242,127.4739,-29.67,5.73
jamestown,90,1615065763,94,42.097,-79.2353,26.01,14.76
puri,41,1615065763,88,19.8,85.85,73.4,3.44
provideniya,100,1615065763,88,64.3833,-173.3,-4.2,7.94
codrington,100,1615065763,95,-38.2667,141.9667,50.41,6.82
grand gaube,88,1615065763,79,-20.0064,57.6608,80.01,7
inta,98,1615065764,90,66.0317,60.1659,-11.78,4
santa barbara,75,1615065816,59,34.7333,-120.0343,66.99,12.66
port elizabeth,20,1615065824,83,-33.918,25.5701,68.0,13.8
novyy svit,0,1615065824,87,47.8059,38.0211,27.19,10.04
huarmey,54,1615065824,64,-10.0681,-78.1522,78.42,11.27
college,75,1615065824,72,64.8569,-147.8028,8.01,0.92
jaque,27,1615065824,64,7.5175,-78.1703,84.9,14.52
kruisfontein,0,1615065811,65,-34.0033,24.7314,70.0,3
qaanaaq,0,1615065824,68,77.484,-69.3632,-15.59,4.76
sept-iles,100,1615065825,54,50.2001,-66.3821,28.99,11.5
topolobampo,1,1615065825,29,25.6,-109.05,78.8,16.11
lagoa,100,1615065825,97,39.05,-27.9833,60.31,16.49
kawalu,100,1615065825,86,-7.3817,108.2082,72.28,1.81
mahasamund,5,1615065826,21,21.1,82.1,66.72,3.67
takoradi,66,1615065826,84,4.8845,-1.7554,80.58,8.01
coos bay,75,1615065693,62,43.3665,-124.2179,53.6,14.97
gat,0,1615065542,100,31.61,34.7642,57.0,4.61
mount isa,0,1615065826,68,-20.7333,139.5,69.8,1.14
grand forks,75,1615065826,57,47.9417,-97.4337,50.0,17.27
salalah,0,1615065826,69,17.0151,54.0924,75.2,2.3
micheweni,30,1615065827,76,-4.9667,39.8333,79.66,9.6
tuatapere,100,1615065827,95,-46.1333,167.6833,52.0,8.99
bodden town,20,1615065827,65,19.2833,-81.25,82.4,4.61
torbay,40,1615065827,64,47.6666,-52.7314,32.0,16.11
luwuk,77,1615065827,72,-0.9516,122.7875,76.91,3.11
kamenka,77,1615065827,87,51.3223,42.7678,19.99,10.8
naranjal,75,1615065828,74,-2.6667,-79.6167,86.0,3.44
rena,33,1615065828,89,61.1348,11.3641,23.86,4.36
veraval,0,1615065828,80,20.9,70.3667,74.1,9.64
kavieng,100,1615065803,79,-2.5744,150.7967,80.69,7.52
cabo san lucas,40,1615065533,56,22.8909,-109.9124,78.01,8.05
kirakira,100,1615065829,80,-10.4544,161.9205,81.3,6.85
oranjemund,0,1615065829,79,-28.55,16.4333,64.18,11.01
fomboni,100,1615065829,76,-12.28,43.7425,83.25,14.47
havelock,75,1615065829,28,34.8791,-76.9013,51.8,4.61
katsuura,89,1615065829,56,35.1333,140.3,45.0,5.01
acarau,94,1615065829,77,-2.8856,-40.12,80.74,13.49
senhor do bonfim,16,1615065691,36,-10.4614,-40.1894,84.67,2.33
charters towers,30,1615065830,85,-20.1,146.2667,72.43,8.72
inhambane,0,1615065666,86,-23.865,35.3833,74.91,6.58
cam ranh,0,1615065830,88,11.9214,109.1591,73.4,1.14
castro,4,1615065830,91,-24.7911,-50.0119,68.92,3.89
oktyabrskoye,100,1615065830,61,43.0645,44.7417,44.01,4.47
waipawa,20,1615065830,67,-41.4122,175.5153,62.6,14.97
pokhara,0,1615065830,32,28.2333,83.9833,60.6,5.21
grand-santi,100,1615065830,92,4.25,-54.3833,77.83,4.43
port lincoln,100,1615065831,74,-34.7333,135.8667,64.44,5.68
upernavik,100,1615065831,89,72.7868,-56.1549,-10.08,9.91
tura,0,1615065831,53,25.5198,90.2201,66.34,5.23
manakara,68,1615065831,92,-22.1333,48.0167,75.09,10.04
chernyshevskiy,96,1615065831,96,63.0128,112.4714,5.14,2.73
olafsvik,100,1615065891,86,64.8945,-23.7142,41.34,7
kolokani,1,1615065891,14,13.5728,-8.0339,86.67,5.64
east london,9,1615065892,80,-33.0153,27.9116,71.37,13.98
husavik,0,1615065892,93,66.0449,-17.3389,30.2,7.07
puerto ayora,75,1615065892,83,-0.7393,-90.3518,80.6,14.97
pacific grove,1,1615065810,62,36.6177,-121.9166,57.2,10.36
kenai,90,1615065892,68,60.5544,-151.2583,30.0,5.75
bambous virieux,75,1615065893,78,-20.3428,57.7575,80.6,10.36
sylva,0,1615065893,84,58.0348,56.7635,-2.2,6.71
narasannapeta,29,1615065893,90,18.4167,84.05,73.2,4.5
srednekolymsk,100,1615065893,88,67.45,153.6833,-11.76,18.14
palafrugell,0,1615065893,87,41.9174,3.1631,48.2,4.61
orebro,75,1615065893,60,59.2741,15.2066,41.0,10.36
geraldton,0,1615065893,88,-28.7667,114.6,66.2,8.05
mana,97,1615065893,85,5.6592,-53.7767,79.3,12.82
cidreira,1,1615065894,65,-30.1811,-50.2056,74.12,10.83
thinadhoo,8,1615065674,76,0.5333,72.9333,82.69,8.66
arraial do cabo,75,1615065894,83,-22.9661,-42.0278,78.8,4.61
miri,20,1615065894,100,4.4148,114.0089,77.0,3.44
teahupoo,75,1615065894,70,-17.8333,-149.2667,86.0,6.91
kodiak,1,1615065847,47,57.79,-152.4072,30.2,33.38
sao jose da coroa grande,99,1615065895,77,-8.8978,-35.1478,79.74,9.51
salina,1,1615065895,28,38.8403,-97.6114,71.01,13.8
paamiut,100,1615065895,98,61.994,-49.6678,32.43,8.37
buala,100,1615065895,79,-8.145,159.5921,80.17,5.28
tadine,80,1615065895,71,-21.55,167.8833,76.8,19.28
pingliang,99,1615065896,81,35.5392,106.6861,36.84,5.26
dunedin,0,1615065896,58,-45.8742,170.5036,59.0,17
souillac,75,1615065896,78,-20.5167,57.5167,80.6,10.36
andilamena,100,1615065896,92,-17.0167,48.5833,66.79,9.15
san andres,20,1615065657,61,12.5847,-81.7006,82.4,8.05
luoyang,0,1615065897,79,34.6836,112.4536,32.5,5.57
yerbogachen,97,1615065897,95,61.2767,108.0108,7.81,5.44
ketchikan,90,1615065897,70,55.3422,-131.6461,42.8,18.41
san carlos de bariloche,40,1615065897,40,-41.1456,-71.3082,69.8,24.16
pangai,75,1615065897,84,-19.8,-174.35,84.2,2.3
ucluelet,75,1615065634,81,48.9329,-125.5528,46.4,13.8
hasaki,75,1615065898,65,35.7333,140.8333,41.0,12.66
porto walter,71,1615065898,58,-8.2686,-72.7439,87.1,3.13
russell,90,1615065898,39,32.3502,-85.1999,62.6,5.75
ginebra,75,1615065898,70,46.2022,6.1457,41.0,2.3
malmedy,67,1615065899,74,50.4269,6.0279,28.99,3.44
gerash,0,1615065899,38,27.6652,54.1371,59.0,6.22
taoudenni,0,1615065899,15,22.6783,-3.9836,78.96,11.25
san patricio,75,1615065899,59,28.017,-97.5169,69.8,14.97
taltal,22,1615065669,61,-25.4,-70.4833,73.33,6.71
vardo,100,1615065899,95,70.3705,31.1107,26.85,29.08
castlegar,100,1615065899,46,49.2998,-117.6689,48.2,8.05
rurrenabaque,40,1615065900,74,-14.4413,-67.5278,89.6,5.75
hobart,75,1615065619,82,-42.8794,147.3294,53.01,6.91
havre-saint-pierre,90,1615065960,93,50.2334,-63.5986,24.8,14.97
punta arenas,0,1615065960,47,-53.15,-70.9167,55.0,40.29
rabo de peixe,75,1615065960,100,37.8,-25.5833,59.0,10.36
hofn,21,1615065930,75,64.2539,-15.2082,39.29,6.08
belaya gora,100,1615065960,88,68.5333,146.4167,-15.23,18.1
buchanan,75,1615065961,94,5.8808,-10.0467,77.0,8.05
bellefontaine,1,1615065661,36,40.3612,-83.7597,41.0,8.05
luderitz,0,1615065961,46,-26.6481,15.1594,72.27,14.54
tambura,15,1615065961,26,5.6,27.4667,78.17,4.72
nishihara,90,1615065961,83,26.1842,127.7558,68.0,12.66
port hardy,90,1615065962,81,50.6996,-127.4199,44.6,9.22
port shepstone,85,1615065962,80,-30.7414,30.455,73.2,16.98
sijunjung,100,1615065962,91,-0.6876,100.9537,72.14,1.14
ilulissat,75,1615065962,93,69.2167,-51.1,21.2,3.44
kindu,95,1615065962,96,-2.95,25.95,71.02,1.07
yamada,0,1615065962,83,39.4667,141.95,28.56,5.84
gladstone,25,1615065963,69,-23.85,151.25,78.8,9.22
qingdao,0,1615065963,74,36.0986,120.3719,32.0,4.47
zermatt,0,1615065914,31,46.0213,7.7491,37.99,6.91
new norfolk,64,1615065963,75,-42.7826,147.0587,53.01,2.55
georgetown,20,1615065825,88,5.4112,100.3354,80.01,4.61
tasiilaq,75,1615065963,80,65.6145,-37.6368,24.8,19.57
niteroi,75,1615065963,78,-22.8833,-43.1036,80.6,16.11
mackay,40,1615065963,74,-21.15,149.2,80.6,6.91
sistranda,40,1615065964,51,63.7256,8.834,33.8,33.38
tuktoyaktuk,90,1615065964,78,69.4541,-133.0374,-0.4,10.36
san quintin,0,1615065964,66,30.4833,-115.95,62.55,20.45
limbang,75,1615065964,94,4.75,115,80.6,3.44
santiago de cuba,20,1615065965,69,20.0247,-75.8219,80.6,8.05
mogila,75,1615065965,65,41.1083,21.3786,43.0,13.8
kodinsk,100,1615065965,97,58.6881,99.1844,24.51,10.83
iqaluit,90,1615065965,71,63.7506,-68.5145,0.0,23.02
onguday,99,1615065965,82,50.75,86.15,15.78,3.65
samarai,59,1615065792,75,-10.6167,150.6667,81.1,9.26
jega,79,1615065966,14,12.2175,4.3792,86.05,8.97
daru,93,1615065966,90,-9.0763,143.2092,75.65,8.19
batemans bay,81,1615065966,95,-35.7167,150.1833,61.0,1.01
mar del plata,0,1615065886,64,-38.0023,-57.5575,68.0,11.5
lata,50,1615065966,81,40.1629,-8.3327,55.0,0.31
sola,90,1615065966,83,-13.8833,167.55,80.6,17.27
kryve ozero,0,1615065967,93,47.9524,30.3493,27.21,8.01
west wendover,1,1615065967,16,40.7391,-114.0733,62.6,16.11
karratha,87,1615065967,72,-20.7377,116.8463,80.42,5.59
syamzha,40,1615065967,95,60.0158,41.0614,6.1,7.02
wanaka,0,1615065968,81,-44.7,169.15,52.0,3.51
trairi,20,1615065968,81,-3.2778,-39.2689,79.36,10.02
atherton,0,1615065968,42,53.5237,-2.4935,36.0,1.01
ostrovnoy,100,1615065968,93,68.0531,39.5131,9.07,17
mamit,4,1615065969,100,23.9333,92.4833,54.88,2.51
kahului,20,1615065969,44,20.8947,-156.47,80.6,18.41
hamilton,1,1615066029,27,39.1834,-84.5333,48.2,5.86
saldanha,0,1615066003,77,-33.0117,17.9442,64.4,2.3
rocha,29,1615066029,74,-34.4833,-54.3333,71.22,7.02
victor rosales,75,1615066030,28,22.95,-102.7,71.6,4.61
burnie,72,1615066030,90,-41.0667,145.9167,55.99,1.99
bull savanna,39,1615066030,57,17.8868,-77.5902,78.76,4.79
anadyr,0,1615066030,75,64.75,177.4833,-25.01,4.47
chiang klang,0,1615065973,48,19.2938,100.8617,69.01,1.57
chicama,40,1615066030,83,-7.8447,-79.1469,75.2,10.36
necochea,0,1615065993,58,-38.5473,-58.7368,77.0,1.99
leningradskiy,88,1615066030,80,69.3833,178.4167,-17.99,3.85
valparaiso,0,1615065869,64,-33.0393,-71.6273,69.8,4.61
santa rosalia,7,1615066031,28,27.3167,-112.2833,70.54,6.38
ornskoldsvik,2,1615065968,63,63.2909,18.7153,21.2,26.46
filiatra,20,1615066031,82,37.15,21.5833,57.0,4.61
moctezuma,1,1615066031,17,29.8,-109.6667,79.79,2.48
bealanana,100,1615065997,86,-14.55,48.7333,65.08,5.19
bonavista,65,1615066031,74,48.6499,-53.1147,30.0,9.22
ponta delgada,75,1615065871,100,37.7333,-25.6667,59.0,10.36
puerto armuelles,20,1615066031,51,8.2833,-82.8667,87.8,9.22
teavaro,75,1615066032,70,-17.5,-149.7667,86.0,6.91
kungsbacka,75,1615066032,87,57.4872,12.0761,41.0,17.27
road town,20,1615065779,61,18.4167,-64.6167,82.4,9.22
mareeba,100,1615066032,94,-17,145.4333,77.0,3.02
sibolga,100,1615066032,85,1.7427,98.7792,76.46,3
kathu,20,1615065993,78,7.9178,98.3332,78.8,4.61
cherskiy,100,1615065946,89,68.75,161.3,-14.49,5.01
kachug,89,1615066032,92,53.9606,105.8817,9.03,2.1
zhangye,95,1615066033,64,38.9342,100.4517,38.66,4.94
san cristobal,40,1615066033,61,7.7669,-72.225,82.4,2.3
kumluca,22,1615066033,69,36.3703,30.2869,55.27,2.91
kautokeino,100,1615066033,95,69.0125,23.0412,15.71,15.43
bekwai,100,1615066033,89,6.4534,-1.5774,73.65,4.99
nouakchott,81,1615066034,17,18.0858,-15.9785,82.4,16.11
los llanos de aridane,40,1615066034,68,28.6585,-17.9182,66.2,19.57
acapulco,1,1615065882,70,16.8634,-99.8901,84.2,6.91
hithadhoo,54,1615065984,67,-0.6,73.0833,83.5,3.53
fairbanks,75,1615066021,72,64.8378,-147.7164,8.01,0.78
nchelenge,100,1615066034,83,-9.3451,28.734,72.77,4.94
laguna,1,1615066034,47,38.421,-121.4238,62.01,5.73
langsa,49,1615066035,92,4.4683,97.9683,74.12,2.89
jorpeland,75,1615066035,87,59.0225,6.0408,43.0,19.57
aykhal,99,1615065996,91,66,111.5,-0.18,7.16
la ronge,76,1615066035,53,55.1001,-105.2842,46.4,4.61
pangnirtung,90,1615065987,66,66.1451,-65.7125,1.4,11.5
meulaboh,100,1615066035,88,4.1363,96.1285,74.88,1.99
nichinan,75,1615066036,76,31.6,131.3667,53.6,17.27
kulhudhuffushi,0,1615066036,61,6.6221,73.07,81.79,4.94
obo,11,1615066036,27,5.3998,26.4869,76.73,4.43
anloga,20,1615066036,84,5.7947,0.8973,84.2,11.5
